MEMBER_NO,FLIGHT_COUNT
27355,1
4032,2
12913,2
58465,2
45414,2
1046,2
57432,2
58507,2
30271,2
3054,2
16348,2
62046,2
46545,2
60317,2
31513,2
46421,2
19464,2
44068,2
42040,2
39606,2
5791,2
47717,2
44147,2
2178,2
21657,2
6486,2
47856,2
10074,2
49336,2
24244,2
53101,2
62049,2
46859,2
48335,2
3642,2
4971,2
11272,2
16001,2
32874,2
52835,2
27218,2
45335,2
7593,2
44708,2
2643,2
28844,2
50800,2
6099,2
13104,2
50278,2
60561,2
14657,2
38221,2
55047,2
21793,2
62851,2
23682,2
49574,2
46214,2
37304,2
38555,2
46505,2
4985,2
39181,2
7957,2
3577,2
5789,2
56298,2
36113,2
57076,2
23392,2
61502,2
144,2
61235,2
45131,2
50513,2
56032,2
39860,2
7398,2
53828,2
44084,2
55521,2
4810,2
30173,2
37476,2
46605,2
55575,2
53467,2
62009,2
62054,2
40577,2
29150,2
57942,2
8600,2
21902,2
23658,2
26490,2
37382,2
3810,2
13037,2
9394,2
55064,2
61449,2
23101,2
53096,2
3659,2
12821,2
51790,2
13006,2
46383,2
26869,2
6998,2
20058,2
40138,2
12891,2
6430,2
19533,2
45754,2
40869,2
45998,2
18482,2
28567,2
29668,2
6489,2
55128,2
37936,2
24261,2
54049,2
5999,2
41351,2
4719,2
25032,2
26119,2
51693,2
2527,2
35337,2
25949,2
1387,2
37236,2
3833,2
7780,2
5942,2
61773,2
248,2
514,2
36092,2
10010,2
39092,2
45428,2
42166,2
46941,2
51893,2
10693,2
26616,2
52208,2
26393,2
36161,2
52560,2
37815,2
12998,2
62071,2
49354,2
27337,2
18193,2
34379,2
15831,2
42134,2
53166,2
18636,2
11168,2
37622,2
61542,2
51960,2
38998,2
7308,2
4804,2
30859,2
15058,2
27420,2
50235,2
3980,2
49785,2
54749,2
60102,2
39508,2
36464,2
58353,2
42577,2
1822,2
41611,2
2545,2
24698,2
57330,2
25260,2
18600,2
6455,2
34739,2
6945,2
47150,2
36473,2
18718,2
23798,2
61504,2
62349,2
49285,2
8967,2
28408,2
16685,2
54171,2
31651,2
20111,2
45628,2
61412,2
40185,2
57007,2
16136,2
43125,2
51373,2
52080,2
59676,2
34892,2
43436,2
33550,2
55078,2
6454,2
1622,2
45693,2
19037,2
6057,2
45433,2
54071,2
24825,2
62047,2
54577,2
308,2
14041,2
33476,2
39593,2
43533,2
37416,2
14821,2
54069,2
62265,2
26259,2
14153,2
28523,2
47324,2
49732,2
38689,2
23485,2
27508,2
33692,2
34271,2
8648,2
18363,2
51746,2
29937,2
2075,2
20038,2
36929,2
44745,2
55632,2
55905,2
2908,2
51677,2
46093,2
54506,2
4109,2
51318,2
7193,2
19956,2
25020,2
58913,2
61158,2
26274,2
59695,2
22606,2
23942,2
33792,2
53871,2
34335,2
28424,2
59445,2
33222,2
18580,2
59738,2
55716,2
14141,2
45271,2
53023,2
23776,2
9458,2
24201,2
24442,2
31008,2
35456,2
54239,2
28583,2
57100,2
8963,2
9409,2
43388,2
42037,2
56608,2
62038,2
9386,2
43418,2
48162,2
55461,2
15547,2
47146,2
2835,2
4123,2
28774,2
29724,2
30692,2
54107,2
55169,2
56833,2
57360,2
62034,2
21133,2
55956,2
153,2
18515,2
56556,2
44008,2
15138,2
21797,2
15354,2
22172,2
4441,2
42657,2
21115,2
42740,2
59402,2
43091,2
21577,2
23366,2
16968,2
21209,2
62286,2
44865,2
41124,2
11758,2
26285,2
152,2
138,2
61441,2
11146,2
23676,2
36507,2
19888,2
49720,2
55754,2
1948,2
58073,2
22141,2
46713,2
19659,2
38062,2
54235,2
31814,2
45379,2
1394,2
8389,2
26343,2
32280,2
32403,2
60166,2
49199,2
3365,2
14319,2
3508,2
